Text,Index
"['直接', '收藏', '太', '喜歡']",0
"['直接', '收藏', '太', '喜歡']",6
['說好'],16
"['超愛抹', '茶']",1
"['想', '吃']",0
"['喜歡', '拍', '好好']",1
"['吃', '台北', '抹', '茶控', '一定', '吃']",0
['超厚'],0
"['餡料', '炸多']",0
"['那天', '客人', '帶盒', '一份', '來', '店裡', '直接', '暴動']",2
"['想要', '吃', '吃', '看']",1
"['內餡', '滿']",0
"['想', '吃']",1
"['抹', '茶控', '推推']",0
"['份量', '好大']",0
"['很雷', '店', '真心', '不錯', '推薦']",8
"['這家', '我收', '超久', '還沒去', '吃']",0
['外帶'],9
"['想', '吃']",0
['好吃'],0
"['抹', '茶']",1
"['我們', '吃']",0
"['好吃', '好貴']",14
"['真的', '無語', '明明', '香港', '格', '仔餅', '韓式', '鬆餅', '偷', '慨念', '香港', '格', '仔餅', '格', '格', '特別', '地', '連在一起', '想', '說', '香港', '格仔餅', '更', '好吃', '傳統', '牛油', '花生醬', '煉乳', '喜愛', '甜點', '控', '一樣', '美食', '下次', '來', '香港', '試試']",1
"['改買', '這家']",5
"['姊', '我們', '來', '吃']",0
"['改天', '來']",0
"['扯', '馬上', '出現']",1
"['扯', '馬上', '出現']",0
"['我們', '吃']",8
"['代替', '吃', '这个']",14
"['代替', '吃', '这个']",16
"['間點', '看', '影片', '根本', '折磨', '自己', '看起來', '好吃', '口袋', '名單']",1
"['想', '吃']",8
"['鬆餅', '重度', '患者']",5
"['請問', '不是', '平常', '常見', '抹', '味', '什麼', '意思']",6
"['杯子', '抹開', '面糊', '不', '知道', '溶掉', '幾個', '練成']",2
"['員工', '態度', '一點', '週前', '關注', '發現', '評論', '員工', '態度', '不好', '吃']",2
"['陪', '買']",9
"['这', '必须', '收藏', '起来', '机会', '台湾', '一定', '试一下']",0
"['看起來', '好好', '粗']",1
"['想', '吃']",2
"['約', '自己', '家', '附近', '兩位', '願意', '賞光']",1
['甜'],2
"['小木屋', '鬆餅', '整個', '完勝', '這家', '不行']",8
"['看起來', '好吃']",0
"['美味', '可惜', '路途遙遠', '中南部', '只能', '網路', '看看', '過癮']",1
"['這間', '想', '吃']",1
"['幫', '吃', '看看', '最近', '想', '吃', '鬆餅', '吃']",8
"['帶我去', '吃']",0
"['吃', '看看']",1
['厚實'],0
"['可惜', '吃']",8
"['鬆餅', '腦袋', '餓']",0
"['吃', '起來']",6
['好大'],0
"['看起來', '真']",8
['買買'],0
"['看', '評論', '店家', '用心', '看', '評論', '調整', '口味', '樣子', '更', '期待']",0
"['我們', '吃', '看看', '口味']",1
"['流口水', '呀呀', '影片', '好棒']",0
['胖死'],0
"['看到', '吃', '不到']",8
"['價錢', '貴']",2
"['口味', '特別', '想']",0
"['想', '吃', '太妃', '焦糖', '奶茶', '口味']",0
['太爆'],1
['太貴'],9
"['太', '誇張', '想', '吃']",0
"['鬆餅', '界', '愛馬仕']",0
"['這料', '太', '迷人']",0
"['請問', '一手', '手套', '一手', '沒有', '雙手', '折', '鬆餅', '什麼', '意義']",5
['天'],0
['不錯'],0
"['超愛', '櫻桃', '戴', '奧尼修斯']",0
"['想', '吃']",0
"['爆漿', '抹', '茶', '鬆餅', '流心', '巴斯克', '韓系', '咖啡廳']",0
"['老闆娘', '超美', '簡直', '韓國', '歐膩']",4
"['抹', '茶粉', '貌似', '小山', '園青嵐', '高級']",11
"['酸甜', '順口', '好喝', '鹹', '甜', '奶蓋', '桑椹', '牛奶', '太', '搭']",0
"['搜尋', '地區', '甜食', '吃', '台', '中']",4
"['搜尋', '種類', '甜食', '吃', '鬆餅', '甜食', '吃', '巴斯克']",4
['爆漿'],0
"['月', '吃']",0
"['抹', '茶', '真的', '厲害']",12
['爆漿'],0
"['喜歡', '抹', '茶']",0
"['我超', '傷心', '剛好', '休息', '吃', '下次', '我們']",9
"['附近', '停車', '超想']",0
['抹'],1
"['竟然', '棕色', '起司', '天', '找', '好久', '找', '不到', '賣', '店家', '這間', '竟然']",9
"['說', '這家']",2
['受不了'],0
"['朝聖', '抹妹', '宣傳', '爆棚', '店']",0
"['台', '中']",1
"['給你留', '著當', '口袋', '名單', '以後', '吃']",5
"['真的', '好吃']",1
"['不能', '看到']",0
"['想', '吃']",0
"['想', '吃']",0
"['嫂', '最愛']",0
"['想', '吃']",1
"['想', '吃']",0
"['看到', '抹', '茶', '想', '看起來', '好吃', '哈哈哈']",2
"['寶貝', '吃']",0
"['豪想', '吃']",8
['遠'],0
"['看见', '这个', '抹', '茶', '不行']",0
"['看起來', '綠色']",2
['台灣'],8
"['睇', '見', '想', '食']",0
"['寶貝', '看', '疫情', '一點', '我們', '吃']",1
"['寶貝', '看', '疫情', '一點', '我們', '吃']",0
"['太瓜', '張']",0
"['妳', '下次', '台', '中']",0
"['哇塞', '抹', '茶', '量']",2
"['吃', '起來']",1
"['吃', '起來']",6
"['吃', '起來']",1
"['抹', '茶控']",0
"['想', '吃']",12
"['抹', '茶']",0
"['抹', '茶']",0
"['想', '吃', '回台', '中']",0
['收藏'],6
"['抹', '誘人']",0
['尖叫'],0
"['妳們', '愛']",1
['真的'],8
['喜欢'],1
['喜欢'],0
"['立馬', '想到', '妳']",2
"['想', '耶']",1
"['吃', '起來']",1
"['帶', '走']",16
"['妹妹', '回台灣', '幫', '吃', '一下', '這家', '看看']",1
"['妹妹', '回台灣', '幫', '吃', '一下', '這家', '看看']",2
"['看起來', '好吃', '我們', '這麼', '早', '出現', '台', '中']",16
"['真', '瘋', '掉']",0
"['抹', '茶']",0
"['流口水', '惹']",0
"['想', '吃']",0
"['抹', '茶']",0
"['愛的', '抹', '茶']",2
"['你們', '先去', '吃', '看看']",0
"['一個', '最不甜']",0
"['想到', '以前', '吃', '抹', '茶', '拍', '一樣']",5
['妳'],1
['妳'],2
"['巴斯克', '很感興趣']",0
"['巴斯克', '誘人']",3
"['留心', '讚']",0
['吸引'],0
['抹'],1
"['哦哦哦', '啊啊啊']",0
"['低消', '太', '讚', '想', '吃', '吃', '看', '口味', '巴斯克', '鬆餅']",0
"['想', '不想', '吃']",0
"['下次', '台', '中', '吃', '吃', '看']",5
"['妳愛', '抹抹', '茶']",0
"['吃給', '看']",9
"['知道', '意思']",3
"['走', '請']",4
"['抹', '茶', '妳有', '吃過']",0
"['什麼', '台', '中', '玩']",8
"['流心', '抹', '茶', '巴斯克']",0
"['妳', '看', '抹', '茶', '妳', '先去', '吃', '吃']",0
"['台', '中']",0
"['蛋糕', '偶']",16
"['看到', '抹', '茶', '想到']",2
"['吼', '想', '吃']",1
"['想', '吃']",0
"['寫', '論文']",14
"['之後', '車子', '我們', '開車', '來', '吃']",0
"['扯', '爆漿']",0
"['爆漿', '鬆餅']",0
"['吃', '起來']",6
"['看', '巴斯克', '流心']",2
"['抹', '茶']",0
"['抹', '茶', '看起來', '讚', '好遠']",5
['誘人'],8
"['妳是', '抹', '茶控', '哀居上', '照片', '幾乎', '抹', '茶']",2
"['妳會', '喜歡']",1
"['口水', '直滴', '一定', '好吃']",0
"['馬上', '想到']",5
"['阿巧', '抹', '茶', '真的', '凍美條']",16
"['想', '台灣', '啊啊啊', '啊啊啊', '啊啊啊', '啊啊啊']",8
"['殘骸', '錢包']",2
"['隊長', '請帶', '我們', '吃']",0
"['起來', '吃', '一波']",0
"['帶我去', '吃']",16
"['天', '吃']",0
"['找', '時間']",19
['泥'],1
"['先去', '吃', '好吃', '等', '回台灣', '帶我去']",1
"['虽然', '吃', '不到', '看起来', '真的', '好吃']",0
"['之後', '台', '中', '想', '吃']",16
"['下次', '台', '中', '吃']",17
"['流心', '巴斯克', '乳酪', '猛']",0
"['拍', '誘人']",0
"['您好', '合作', '邀約', '麻煩', '留意', '陌生', '訊息']",1
"['抹', '茶', '最愛']",0
"['想', '吃']",16
"['想', '吃']",1
['抹'],0
"['加入', '清單']",12
['抹'],0
"['抹', '茶', '愛', '等', '回來', '一起']",1
"['先去', '幫', '吃', '看看']",5
"['吃', '下', '然后', '寄给']",0
"['終於', '啲']",2
['妳愛'],18
['想'],16
"['竟然', '這麼', '厲害', '甜點', '不', '知道']",0
"['這間', '好吃']",1
"['鬆餅', '看起來', '夠', '讚']",0
"['影片', '超療', '癒']",0
"['看起來', '好吃']",1
"['天', '可頌天', '鬆餅', '爆漿']",0
"['夠療', '癒']",0
"['天', '巴斯克', '流心']",0
"['可愛', '謝謝您']",1
"['好吃', '流心']",1
"['好吃', '流心']",0
"['齁', '唷', '想']",16
"['流心', '巴斯克', '太']",0
"['抹', '茶', '抹', '茶', '來', '吃', '一下']",16
"['流醬', '邪惡']",0
"['太', '誘人']",0
"['完全', '吃不出', '麩質', '有夠', '脆口', '好吃']",0
"['搜尋', '地區', '甜食', '吃宅配']",4
"['搜尋', '種類', '甜食', '吃伴', '手禮']",4
"['會員', '每月', '號滿千免', '運']",11
"['手工', '餅乾', '早鳥', '預購', '前', '下單', '折']",11
"['加入', '會員', '立即', '享有', '元', '購物', '金']",11
"['搜尋', '地區', '甜食', '吃', '新竹']",4
"['搜尋', '種類', '甜食', '吃', '小吃']",4
['收藏'],0
['超愛潤餅'],0
"['第一次', '看到', '燻雞', '耶']",0
"['下次', '新竹', '逛', '看看']",0
"['吃過', '焙茶', '整個', '大愛', '超越', '抹', '茶', '喜愛']",2
['瘋掉'],3
['瘋掉'],1
['好燒'],4
['好燒'],0
"['超愛', '焙茶']",0
['我們'],1
['我們'],3
['下次'],0
"['焙茶', '拿鐵超', '好喝']",0
"['聯名', '焙茶', '耶', '讚']",0
['聯名'],0
"['愛', '焙茶']",0
"['超愛', '焙茶']",0
"['聯名', '讚']",0
['焙茶'],0
"['看起來', '厲害']",0
"['焙茶', '控']",0
"['太', '厲害']",0
"['焙茶', '控是', '超焙']",2
"['超想', '吃']",1
"['焙茶', '謝謝', '抹妹', '推薦']",1
"['想', '吃', '焙茶']",0
"['焙茶', '愛']",0
"['聯名', '真的', '讚', '焙', '爆']",9
"['濃抹', '茶吃過', '吃', '超濃', '焙茶']",0
"['愛', '焙茶']",1
"['愛', '焙茶']",0
['焙茶'],0
"['看看', '日本', '台灣', '看到', '日本', '村']",5
"['上次', '泡', '麵', '博物館', '做', '完泡', '麵', '離開', '希望', '下次', '能待久', '一點']",9
"['愛', '橫濱']",0
['用心'],0
['好美'],0
"['玩具', '小汽車', '看起來', '好玩']",0
"['搜尋', '地區', '甜食', '吃', '日本']",4
"['搜尋', '種類', '甜食', '吃', '拉', '麵']",4
"['抹', '茶控', '立馬', '收藏', '東京', '吃']",0
"['冰淇淋', '拉', '麵', '超瘋']",0
"['幾天', '飛', '東京', '想', '試試']",0
"['抹', '茶', '太酷']",0
"['抹', '茶配', '豬排', '第一次', '看到']",0
"['前', '幾天', '剛去', '吃', '看來', '吃', '一次', '挑戰', '酷', '東西']",5
"['品田', '陶', '板屋']",2
"['抹', '茶', '聯名']",2
"['看起來', '好吃', '謝謝', '抹妹', '介紹']",0
"['竟然', '抹', '茶', '聯名']",0
['聯名'],0
"['品田', '居然', '抹', '茶', '聯名', '太酷', '想', '吃']",0
"['一起', '吃', '抹', '茶']",0
"['想', '吃']",3
"['真的', '厲害', '連', '豬排', '醬', '抹起來']",5
"['莫名', '詭異']",2
"['抹', '茶', '豬排', '太', '吸引']",0
"['歐歐', '歐歐', '歐酷']",2
"['太', '誇張']",0
"['好酷', '抹', '茶', '豬排']",0
"['聯名', '太扯', '抹', '茶控', '發瘋']",0
"['布丁', '真的', '好吃']",0
"['鼻鼻敢', '吃']",5
"['直接', '國華', '街邊', '吃', '冰邊', '酒精', '路', '跑']",5
"['搭配', '上', '堅果', '脆粒', '特製', '餅乾', '甜筒', '真的', '毫無', '負擔', '感']",9
"['搜尋', '地區', '甜食', '吃', '台南']",4
"['搜尋', '種類', '甜食', '吃', '冰']",4
"['每次', '路過', '猶豫', '不要', '進去', '看來', '下次', '不用', '猶豫', '直接', '進去', '巧克力', '霜淇淋', '看起來', '好吃', '耶']",0
"['剛好', '下個月', '台南']",0
"['剛好', '下禮拜', '台南']",12
"['剛好', '下禮拜', '台南']",0
"['有加', '酒']",0
['美味'],0
"['喝', '起來']",0
['好吃'],0
['吃'],0
"['桃園', '新開幕', '復古', '年代', '風格', '麻辣', '串串']",3
"['推薦', '選嫩', '牛', '系列', '拿', '絕對', '不虧']",5
"['調味', '更是', '香', '不太愛吃', '辣', '自己', '默默', '吃', '完']",5
"['搜尋', '地區', '甜食', '吃', '桃園']",4
"['搜尋', '種類', '甜食', '吃火鍋']",4
"['絕對', '要配', '酸梅', '汁']",2
"['這家', '讚', '一家', '聚面', '特別', '台北市', '大安區']",0
"['上次', '吃', '真的', '牛油', '鍋底', '辣到']",2
"['酸梅湯', '長', '好像', '茅台']",5
['歸屬'],2
"['下次', '過來', '吃']",17
"['辣到', '生氣', '猛']",2
"['天', '不能', '輕易', '嘗試']",2
['愛吃辣'],0
"['開', '桃園']",3
"['酸', '白菜', '真的', '無敵', '讚', '喝', '爆', '湯']",0
"['辣度', '還好']",2
"['去過', '成都', '真的', '嗤之以鼻', '路邊', '串串', '好吃', '便宜', '百倍', '雷到', '不予置評']",12
['超愛吃辣'],0
"['想', '吃']",2
"['走', '囉']",12
"['好吃', '可惜', '價格', '偏貴']",9
['辣死'],2
['辣'],0
"['胃乳先', '喝下去', '吃']",2
"['胃乳先', '喝下去', '吃']",5
['好吃'],8
"['看到', '說', '辣', '想到', '妳']",2
"['最後', '郭德綱', '直接', '跑', '偏']",2
"['看到', '辣椒', '真的', '想衝']",2
"['端午節', '限定', '販售']",6
"['請問', '賣']",1
"['想', '吃']",0
['吃'],0
"['天', '芋', '泥']",0
"['紫米', '粽', '好吃']",0
['太會'],0
"['太棒', '惹']",0
['讚'],0
['爆汁'],0
"['看起來', '太', '好吃']",0
"['換過', '一次', '床墊', '回不去']",9
"['直接', '全家', '換過', '一輪']",5
"['床墊', '真的', '重要']",3
['猛'],0
"['躺', '舒服']",0
"['愛這裡', '床']",0
"['想', '躺']",0
"['中午', '喝', '調酒師', '現做', '調酒', '師傅', '手作', '料理', '太', '幸福']",9
"['尤其', '刺身', '厚切', '一口', '吃不完']",5
"['熱食', '類燉', '飯', '真的', '好吃', '海膽', '香氣', '吃', '一小', '口', '炸']",9
"['蛋包飯', '走', '偏', '甜', '類型', '朋友', '超愛']",5
"['蝦', '捲', '走', '創意', '路線', '有人', '蝦', '捲', '現', '刨', '起司']",0
"['完完全全', '正中', '我心', '有夠', '好吃']",9
"['搜尋', '地區', '甜食', '吃', '信義', '區']",4
"['搜尋', '種類', '甜食', '吃餐', '酒館']",4
['特別'],0
"['一起', '列車', '上', '吃飯', '讚']",0
"['一道', '看起來', '厲害']",0
"['看起來', '真的', '歐依細']",0
['很強'],0
"['抹妹', '讚', '真心']",18
"['抹妹', '讚', '真心']",2
"['美的', '店']",0
"['風格', '讚']",0
['收藏'],0
"['他們', '東西', '好吃']",0
['好美'],0
"['風格', '想', '試試']",0
"['總共', '款', '紙盒', '瓶', '寶特瓶', '換新裝']",9
"['搜尋', '地區', '甜食', '吃', '超商']",4
"['購買', '冰鎮', '全系列', '飲品', '並在', '官網', '登入', '發票', '機會', '抽到', '越南', '富國', '島', '雙人', '來回', '機票', '咖波', '大禮包']",11
"['購買', '冰鎮', '寶特瓶', '產品', '加碼', '抽', '咖波', '懶骨頭', '沙發']",11
"['包裝', '可愛', '好久沒', '喝', '冰鎮', '改天', '喝喝', '看']",0
"['私', '心愛', '無印', '抹', '茶']",9
"['愛抹', '茶', '草莓', '巧克力']",2
"['抹', '茶', '草莓', '巧克力', '很難', '買', '上次', '找', '不到']",9
"['無印', '抹', '茶', '集合']",2
"['好奇', '抹', '茶香', '氛']",0
"['滿滿的', '抹', '茶']",0
"['營業', '特別', '晚', '餐點', '特別', '日']",9
"['第一次', '感受', '塞滿', '生', '牛肉', '嘴裡', '快樂']",9
"['一喝', '彷彿', '來到', '國小畢', '旅去', '漁場']",5
"['自己', '捲起', '褲管', '撈', '之後', '大', '口吃', '下', '澎湃', '快感']",9
"['看似', '一口', '超貴', '吃', '下去', '油脂', '嘴裡', '化開', '卡滋聲', '腦中', '迴盪', '完全', '值得']",9
"['純純', '日本', '味兒', '很多', '小', '細節', '感受', '得到', '由來', '必須', '試試']",9
"['搜尋', '地區', '甜食', '吃', '台', '中']",4
"['搜尋', '種類', '甜食', '吃', '居', '酒屋']",4
"['生', '牛肉', '雞里', '肌串', '好燒']",0
"['看到', '翻車', '現場']",2
"['宵夜', '酒', '咖還', '不吃', '爆']",0
"['串烤', '看起來', '太香']",0
['這家'],18
"['嗨', '凌晨', '三點']",0
"['這間', '好酷']",0
"['抹', '茶控', '當然', '直接', '抹', '茶', '三入', '催落']",5
"['搜尋', '地區', '甜食', '吃', '台', '中']",4
"['小', '錘子', '可愛']",5
"['請問', '烏龜', '店家', '養']",2
['回購'],2
"['很貴', '吃', '起來', '很普', '還不太', '衛生']",5
"['看起來', '讚']",0
['好脆'],0
"['好吃', '耶']",0
"['內餡', '太滿']",0
"['滿滿', '好脆']",2
['爆漿'],0
"['要肥', '起來']",2
"['超想', '吃']",9
"['鏡面', '焦糖', '讚']",0
"['太欠', '吃']",3
"['抹', '茶']",0
"['現做', '沙茶', '炒', '麵', '蒙古', '烤肉', '形式', '沙茶', '炒菜', '吃', '飽']",9
"['鍋底', '總共', '選', '每款', '真的', '食材', '熬', '煮']",9
"['搜尋', '地區', '甜食', '吃', '桃園']",4
"['搜尋', '種類', '甜食', '吃火鍋']",4
"['我們', '前', '幾天', '吃', '沙茶', '味道', '真的', '特別']",17
"['開頭', '店員', '跳', '大', '小姐', '那位']",2
"['開頭', '看', '服裝', '跳', '大', '小姐']",2
"['看起來', '讚']",0
"['店員', '跳', '晚安', '大', '小姐']",5
"['沙茶', '很香']",0
"['沙茶', '醬', '真的', '不', '一樣']",0
"['自助', '區好', '多樣']",0
"['第一幕', '還以', '唱', '大', '小姐']",5
"['黃', '飛紅', '麻辣', '花生醬', '首度', '台灣', '上市']",9
"['搜尋', '種類', '甜食', '吃']",4
['下飯'],0
['汁'],0
['麻辣'],1
"['所有', '放鬆', '行程', '一次', '給齊', '不用', '東奔西跑', '一次', '搞定']",9
"['孝順', '缺', '乾兒子']",5
"['孝順', '缺', '乾兒子']",9
"['松葉', '蟹']",0
"['蛋撻', '看起來', '很強']",0
"['海洋', '造型', '飲品', '不錯']",0
"['讚', '我住', '桃園', '好像', '住', '一下']",2
"['好貴', '想']",5
"['竟然', '海洋', '直播']",0
"['後來', '決定', '回鄉', '推薦', '家鄉', '農產品', '品牌']",9
"['搜尋', '地區', '甜食', '吃宅配']",4
"['搜尋', '種類', '甜食', '吃伴', '手禮']",4
"['光', '老闆', '心意', '就讓', '巧克力', '一點', '不', '馬虎']",16
"['老闆', '字', '真心', '讚']",0
['開單'],2
['竟然'],0
"['竟然', '巧克力']",0
"['手', '寫信', '真的', '破防']",0
"['給你', '表現', '機會']",2
"['搜尋', '地區', '甜食', '吃', '台', '中']",4
"['搜尋', '種類', '甜食', '吃', '燒肉']",4
"['日式', '庭院', '景好', '美']",1
"['日式', '庭院', '景好', '美']",0
"['有夠', '美的', '燒肉']",0
['美的'],0
['收藏'],0
"['爐端燒', '太', '厲害']",0
"['好頂', '燒肉']",0
['帶我去'],0
"['看起來', '厲害', '台', '中', '真的', '燒肉', '天堂', '哈哈哈']",5
['太酷'],3
"['台', '中', '完全', '燒肉', '天堂']",0
"['很棒', '分享']",1
"['高級', '唷']",0
"['想', '吃', '看看']",11
"['什麼', '去燒', '肉店', '喝湯']",5
['特別'],3
['心動'],0
['走'],0
"['讚', '耶']",0
"['寄生', '上流', '家']",17
['讚'],0
"['貼膜', '順便', '帶', '吃']",0
"['看起來', '厲害', '吃']",3
"['抹味', '純', '濃又有', '宇治', '抹', '茶', '高級', '香']",9
"['有人', '手搖', '抹', '茶', '刷', '這麼', '好喝']",9
"['重點', '真的', '超濃稠', '日本', '豆乳', '冰淇淋', '一樣', '濃到', '倒立', '掉']",5
"['搜尋', '地區', '甜食', '吃', '西門']",4
"['搜尋', '種類', '甜食', '喝', '飲料']",4
"['太', '誘人', '中部', '喝', '不到']",14
"['高雄', '等', '下去', '買來', '喝']",0
"['他家', '焙茶', '不錯', '味道', '比得', '正', '濃郁', '多']",2
['買'],6
"['手搖', '飲', '喝到', '太', '讚']",0
"['一月', '之後', '試試看']",0
"['想', '自己', '刷刷', '看']",17
"['天', '抹']",0
"['一般', '早餐', '店', '不同', '裝潢', '特別', '舒服', '口味', '更', '特色']",9
"['粒粒', '分明', '米飯', '配', '上', '銷魂', '蛋', '一點點', '扒', '完', '整碗飯', '菜脯', '滿足']",9
"['搜尋', '種類', '甜食', '吃', '早', '午餐']",4
"['昆陽', '店', '裝潢', '特別', '必訪', '推薦']",0
"['可愛', '裝潢']",0
"['想', '吃']",17
"['皮', '蛋蛋', '餅', '真的', '大', '推']",0
"['了紅', '糟肉', '想']",0
"['早上', '吃', '太', '幸福']",0
"['皮蛋', '肉鬆', '神', '組合']",0
['讚'],0
"['真的', '好吃', '我剛', '買', '五盒']",2
"['其實', '切', '開來', '看到', '流心', '部分', '耶', '或許', '做成', '冰棒', '原因', '沒有', '預期', '直接', '流']",17
"['今天', '發了', '一篇', '弱弱', '雪糕', '片']",5
"['上次', '日本', '吃', '甜', '微苦', '一點', '更', '讚']",1
"['看起來', '超抹', '耶']",0
"['抹', '茶控', '報到']",0
"['太甜', '惹']",9
"['太甜', '惹']",16
"['特濃', '厲害']",0
['流心'],0
"['流心', '再放', '一下下', '會流']",5
['下手'],0
['費棒'],2
['買不到'],14
"['搜尋', '種類', '甜食', '吃', '韓式', '料理', '甜食', '吃素']",4
"['飲料', '那幕', '有個', '逃跑', '小', '檸檬', '片', '可愛']",5
"['飲料', '那幕', '有個', '逃跑', '小', '檸檬', '片', '可愛']",0
"['松露', '煎餅', '特別', '玉米', '煎餅', '好像', '甜點', '玉米', '看起來', '有夠', '多']",5
"['好吃', '朋友', '約', '這間']",1
"['這家', '真的', '好吃']",0
"['天', '完全', '看不出來', '太狂']",5
"['天', '完全', '看不出來', '太狂']",0
"['歐某', '想', '吃', '看看']",0
['太苦'],0
"['約', '一個', '吃']",0
['太強'],0
"['看不出來', '素食']",0
['好吃'],0
['好強'],0
"['看起來', '太', '好吃']",1
"['看起來', '太', '好吃']",0
"['他剛', '開幕', '吃', '一次', '現在', '看到', '影片', '想', '再訪']",0
"['這家', '不錯', '我們', '吃']",2
"['粉紅', '炸雞', '特別']",1
"['來', '啊啊啊']",3
"['想', '請問', '鮭魚', '卵', '素食', '葷食', '剛好', '今天', '朋友', '討論']",5
"['下次', '吃']",0
"['去過', '好吃']",0
"['桃園', '車站', '周邊', '韓式', '烤肉', '吃', '飽', '火烤', '兩吃']",0
"['從豬', '五花', '牛小排', '安格斯', '牛', '通通', '無限', '吃']",9
"['牛肉', '則有', '牛小排', '嫩', '肩牛', '小', '肥牛', '每種', '無論是', '烤', '煮', '火鍋', '不錯']",9
"['甜點', '部分', '更是', '滿足', '尤其', '拔絲', '地瓜', '好吃', '值', '問題']",5
"['搜尋', '地區', '甜食', '吃', '桃園']",4
"['搜尋', '種類', '甜食', '吃', '燒肉', '甜食', '吃', '韓式', '料理']",4
"['不是', '美女', '拍', '說']",9
"['餓', '久', '朋友', '需要']",5
"['最近', '好愛吃', '韓式', '料理']",0
"['這間', '不錯', '店裡面', '地板', '滑', '滑', '上次', '還差', '跌倒']",2
"['有夠', '便宜']",0
"['聞到', '香氣']",0
['便宜'],0
"['選擇', '好多', '不貴']",0
['划算'],0
"['下次', '桃園', '吃', '不是']",16
['愛韓式'],0
['超餓'],12
"['上次', '沒去', '吃']",2
"['個人', '認為', '這家', '超雷', '肉', '不怎麼', '好吃', '火鍋', '一般般', '大概', '可樂', '喝到', '飽']",8
"['東西', '好吃', '小菜', '多樣', '衛生', '不太好', '碗盤', '餐具', '杯子', '很髒', '地板', '黏', '餐廳', '人員', '明顯', '不足', '用餐', '時間', '一個', '小時', '火鍋', '料', '推車', '請', '次', '推來', '吃', '完', '真的', '一肚子火']",3
"['吃過', '環境', '不好', '韓式', '烤肉']",8
"['讚', '評價']",0
"['想', '吃']",16
"['我住', '附近', '沒有', '買一送一', '常來']",9
"['這家', '真的', '好吃', '盒子', '可愛', '死']",0
"['超愛', '謝謝', '陪']",0
['可愛'],0
"['想', '吃']",0
"['鐵盒', '可愛']",0
['吃'],0
['讚'],0
"['文末', '抽獎', '新北', '新莊']",11
"['今年', '月', '發發們', '芒', '度假', '系列']",0
"['發發', '飲料', '總是', '喝', '起來', '安心']",9
"['新品', '周邊']",10
"['奇異', '鳥大抱', '枕組']",10
"['奇異', '鳥', '透明', '環保', '杯']",10
"['奇異', '鳥杯', '墊']",10
"['質感', '容量', '大', '輕', '奇異', '鳥', '粉絲', '必須', '擁有', '文末', '抽獎', '抽']",9
"['搜尋', '地區', '甜食', '吃', '發發']",4
"['搜尋', '種類', '甜食', '喝', '飲料']",4
"['抽獎', '活動', '追蹤', '按', '留言', '一起', '發']",1
"['抽獎', '活動', '追蹤', '按', '留言', '一起', '發']",11
"['抽獎', '活動', '追蹤', '按', '留言', '一起', '發']",10
"['抽獎', '時間', '即日起', '止']",11
